"access.field","demand.type","access.type","trip.type","time","threshold","before.after","gap","gini.low","gini.mid","gini.high"
"abs.com.mor.30min.before","dep","abs","com","mor","30","before",0.32,"0.72",0.75,0.78
"abs.com.mor.33min.before","dep","abs","com","mor","33","before",0.32,"0.7",0.72,0.75
"abs.com.mor.36min.before","dep","abs","com","mor","36","before",0.33,"0.68",0.7,0.71
"abs.com.mor.39min.before","dep","abs","com","mor","39","before",0.32,"0.67",0.67,0.67
"abs.com.mor.42min.before","dep","abs","com","mor","42","before",0.33,"0.64",0.65,0.65
"abs.com.mor.45min.before","dep","abs","com","mor","45","before",0.33,"0.63",0.63,0.62
"abs.com.mor.48min.before","dep","abs","com","mor","48","before",0.33,"0.61",0.6,0.6
"abs.com.mor.51min.before","dep","abs","com","mor","51","before",0.33,"0.58",0.58,0.58
"abs.com.mor.54min.before","dep","abs","com","mor","54","before",0.33,"0.56",0.56,0.55
"abs.com.mor.57min.before","dep","abs","com","mor","57","before",0.33,"0.54",0.55,0.53
"abs.com.mor.60min.before","dep","abs","com","mor","60","before",0.33,"0.53",0.52,0.51
"abs.com.mor.63min.before","dep","abs","com","mor","63","before",0.33,"0.51",0.5,0.48
"abs.com.mor.66min.before","dep","abs","com","mor","66","before",0.33,"0.5",0.48,0.46
"abs.com.mor.69min.before","dep","abs","com","mor","69","before",0.33,"0.48",0.46,0.44
"abs.com.mor.72min.before","dep","abs","com","mor","72","before",0.33,"0.47",0.44,0.42
"abs.com.mor.75min.before","dep","abs","com","mor","75","before",0.33,"0.45",0.43,0.4
"rel.com.mor.1.before","dep","rel","com","mor","1","before",0.49,"1",0.99,1
"rel.com.mor.1.2.before","dep","rel","com","mor","1.2","before",0.49,"1",0.99,0.99
"rel.com.mor.1.4.before","dep","rel","com","mor","1.4","before",0.46,"0.99",0.98,0.98
"rel.com.mor.1.6.before","dep","rel","com","mor","1.6","before",0.42,"0.97",0.96,0.95
"rel.com.mor.1.8.before","dep","rel","com","mor","1.8","before",0.36,"0.95",0.93,0.92
"rel.com.mor.2.before","dep","rel","com","mor","2","before",0.29,"0.89",0.88,0.84
"rel.com.mor.2.2.before","dep","rel","com","mor","2.2","before",0.28,"0.82",0.8,0.74
"rel.com.mor.2.4.before","dep","rel","com","mor","2.4","before",0.28,"0.72",0.69,0.63
"rel.com.mor.2.6.before","dep","rel","com","mor","2.6","before",0.29,"0.63",0.58,0.5
"rel.com.mor.2.8.before","dep","rel","com","mor","2.8","before",0.29,"0.57",0.49,0.4
"rel.com.mor.3.before","dep","rel","com","mor","3","before",0.29,"0.52",0.43,0.32
"abs.non.mor.30min.before","dep","abs","non","mor","30","before",0.32,"0.71",0.71,0.74
